crane_id,timestamp,temperature,vibration,load,motor_current,runtime_hours,ambient_temperature,health_label,RUL,temp_rolling_avg,vib_rolling_avg
CRN-001,2026-03-17 10:16:42.284452,58.89,0.374,11.74,31.03,0.0,25.13,Normal,907,58.89,0.374
CRN-001,2026-03-17 11:16:42.284452,58.76,0.356,15.5,33.66,1.2,26.35,Normal,852,58.825,0.365
CRN-001,2026-03-17 12:16:42.284452,57.42,0.299,28.36,43.62,2.4,27.55,Normal,821,58.35666666666666,0.34299999999999997
CRN-001,2026-03-17 13:16:42.284452,58.09,0.35,33.56,46.45,3.6,28.45,Normal,818,58.29,0.34475
CRN-001,2026-03-17 14:16:42.284452,57.84,0.358,28.23,44.48,4.8,29.34,Normal,854,58.2,0.3474
CRN-001,2026-03-17 15:16:42.284452,59.06,0.4,23.2,39.93,6.0,29.71,Normal,817,58.343333333333334,0.3561666666666667
CRN-001,2026-03-17 16:16:42.284452,58.09,0.426,19.35,36.39,7.2,30.0,Normal,849,58.307142857142864,0.3661428571428571
CRN-001,2026-03-17 17:16:42.284452,59.25,0.396,37.66,52.99,8.4,30.39,Normal,847,58.425000000000004,0.369875
CRN-001,2026-03-17 18:16:42.284452,58.4,0.311,34.86,48.73,9.6,29.31,Normal,879,58.42222222222222,0.36333333333333334
CRN-001,2026-03-17 19:16:42.284452,58.01,0.329,34.07,49.03,10.8,28.27,Normal,834,58.38100000000001,0.3599
CRN-001,2026-03-17 20:16:42.284452,58.66,0.437,33.14,49.63,12.0,27.36,Normal,805,58.358000000000004,0.36619999999999997
CRN-001,2026-03-17 21:16:42.284452,57.94,0.31,11.91,32.17,13.2,26.25,Normal,892,58.275999999999996,0.36160000000000003
CRN-001,2026-03-17 22:16:42.284452,57.5,0.426,36.62,52.78,14.4,24.78,Normal,856,58.28399999999999,0.37429999999999997
CRN-001,2026-03-17 23:16:42.284452,57.94,0.434,26.84,44.44,15.6,23.5,Normal,865,58.269000000000005,0.3827
CRN-001,2026-03-18 00:16:42.284452,58.66,0.255,10.76,30.7,16.8,22.49,Normal,811,58.351,0.37239999999999995
CRN-001,2026-03-18 01:16:42.284452,58.26,0.431,17.48,36.16,18.0,21.18,Normal,843,58.270999999999994,0.3755
CRN-001,2026-03-18 02:16:42.284452,57.46,0.345,37.89,51.54,19.2,20.97,Normal,804,58.208000000000006,0.3674
CRN-001,2026-03-18 03:16:42.284452,58.23,0.399,15.6,34.78,20.4,20.27,Normal,863,58.10600000000001,0.3677
CRN-001,2026-03-18 04:16:42.284452,58.11,0.351,16.84,34.9,21.6,20.02,Normal,829,58.077,0.37170000000000003
CRN-001,2026-03-18 05:16:42.284452,57.53,0.253,16.66,34.94,22.8,20.43,Normal,871,58.028999999999996,0.3641
