sensor_data_id,crane_id,component_id,timestamp,temperature,vibration,load,motor_current,hydraulic_pressure,runtime_hours,ambient_temperature,temp_rolling_avg,vib_rolling_avg,health_label,RUL
SD-00001,CR-001,CMP-001,2026-08-17 12:30,62.75,0.343,23.9,35.0,148.8,1003.6,27.5,62.75,0.343,Normal,1200
SD-00002,CR-001,CMP-001,2026-08-17 16:06,64.37,0.388,20.6,33.1,147.7,1007.2,27.1,64.37,0.388,Normal,1195
SD-00003,CR-001,CMP-001,2026-08-17 19:42,62.36,0.254,16.8,30.9,144.9,1010.8,28.6,62.36,0.254,Normal,1190
SD-00004,CR-001,CMP-001,2026-08-17 23:18,60.64,0.279,26.4,31.5,150.3,1014.4,25.2,60.64,0.279,Normal,1185
SD-00005,CR-001,CMP-001,2026-08-18 02:54,61.18,0.356,18.5,32.8,147.0,1018.0,27.4,61.18,0.356,Normal,1180
SD-00006,CR-001,CMP-001,2026-08-18 06:30,61.1,0.443,22.0,29.9,154.1,1021.6,25.6,61.1,0.443,Normal,1175
SD-00007,CR-001,CMP-001,2026-08-18 10:06,62.31,0.252,18.0,32.4,153.7,1025.2,28.3,62.31,0.252,Normal,1170
SD-00008,CR-001,CMP-001,2026-08-18 13:42,61.83,0.335,17.6,30.6,147.7,1028.8,30.1,61.83,0.335,Normal,1165
SD-00009,CR-001,CMP-001,2026-08-18 17:18,62.52,0.262,23.0,31.2,146.6,1032.4,29.2,62.52,0.262,Normal,1160
SD-00010,CR-001,CMP-001,2026-08-18 20:54,63.55,0.397,19.5,31.4,151.7,1036.0,30.0,63.55,0.397,Normal,1155
SD-00011,CR-001,CMP-001,2026-08-19 00:30,61.28,0.341,18.7,29.6,154.1,1039.6,30.7,61.28,0.341,Normal,1150
SD-00012,CR-001,CMP-001,2026-08-19 04:06,61.89,0.4,23.1,30.7,151.8,1043.2,31.1,61.89,0.4,Normal,1145
SD-00013,CR-001,CMP-001,2026-08-19 07:42,61.95,0.428,14.1,33.6,150.4,1046.8,27.4,61.95,0.428,Normal,1140
SD-00014,CR-001,CMP-001,2026-08-19 11:18,62.14,0.251,21.3,32.7,157.4,1050.4,27.0,62.14,0.251,Normal,1135
SD-00015,CR-001,CMP-001,2026-08-19 14:54,60.79,0.325,24.7,32.7,147.4,1054.0,29.0,60.79,0.325,Normal,1130
SD-00016,CR-001,CMP-001,2026-08-19 18:30,62.15,0.398,19.9,31.3,148.0,1057.6,25.1,62.15,0.398,Normal,1125
SD-00017,CR-001,CMP-001,2026-08-19 22:06,62.44,0.363,22.0,31.5,142.9,1061.2,27.2,62.44,0.363,Normal,1120
SD-00018,CR-001,CMP-001,2026-08-20 01:42,61.49,0.31,21.5,32.8,159.4,1064.8,28.3,61.49,0.31,Normal,1115
SD-00019,CR-001,CMP-001,2026-08-20 05:18,62.39,0.346,16.2,31.9,150.3,1068.4,32.9,62.39,0.346,Normal,1110
SD-00020,CR-001,CMP-001,2026-08-20 08:54,61.71,0.365,21.9,29.7,155.7,1072.0,29.5,61.71,0.365,Normal,1105
SD-00021,CR-001,CMP-001,2026-08-20 12:30,63.19,0.305,26.2,29.2,152.9,1075.6,32.4,63.19,0.305,Normal,1100
